percentile,latency_ns
0.0000,83
1.0000,125
2.0000,125
3.0000,125
4.0000,125
5.0000,125
6.0000,166
7.0000,166
8.0000,166
9.0000,166
10.0000,166
11.0000,166
12.0000,166
13.0000,166
14.0000,166
15.0000,166
16.0000,166
17.0000,166
18.0000,166
19.0000,166
20.0000,166
21.0000,166
22.0000,166
23.0000,166
24.0000,167
25.0000,167
26.0000,167
27.0000,167
28.0000,167
29.0000,167
30.0000,167
31.0000,167
32.0000,167
33.0000,167
34.0000,167
35.0000,167
36.0000,167
37.0000,167
38.0000,167
39.0000,167
40.0000,167
41.0000,167
42.0000,167
43.0000,167
44.0000,167
45.0000,167
46.0000,167
47.0000,167
48.0000,167
49.0000,167
50.0000,167
51.0000,167
52.0000,167
53.0000,167
54.0000,167
55.0000,167
56.0000,167
57.0000,167
58.0000,167
59.0000,208
60.0000,208
61.0000,208
62.0000,208
63.0000,208
64.0000,208
65.0000,208
66.0000,208
67.0000,208
68.0000,208
69.0000,208
70.0000,208
71.0000,208
72.0000,208
73.0000,208
74.0000,208
75.0000,208
76.0000,208
77.0000,208
78.0000,208
79.0000,208
80.0000,208
81.0000,209
82.0000,209
83.0000,209
84.0000,209
85.0000,209
86.0000,209
87.0000,209
88.0000,209
89.0000,209
90.0000,209
90.0000,209
90.1000,209
90.2000,209
90.3000,209
90.4000,209
90.5000,209
90.6000,209
90.7000,209
90.8000,209
90.9000,209
91.0000,209
91.1000,209
91.2000,209
91.3000,209
91.4000,209
91.5000,209
91.6000,209
91.7000,209
91.8000,209
91.9000,209
92.0000,250
92.1000,250
92.2000,250
92.3000,250
92.4000,250
92.5000,250
92.6000,250
92.7000,250
92.8000,250
92.9000,250
93.0000,250
93.1000,250
93.2000,250
93.3000,250
93.4000,250
93.5000,250
93.6000,250
93.7000,250
93.8000,250
93.9000,250
94.0000,250
94.1000,250
94.2000,250
94.3000,250
94.4000,250
94.5000,250
94.6000,250
94.7000,250
94.8000,250
94.9000,250
95.0000,250
95.1000,250
95.2000,250
95.3000,250
95.4000,250
95.5000,250
95.6000,250
95.7000,250
95.8000,250
95.9000,250
96.0000,250
96.1000,250
96.2000,250
96.3000,250
96.4000,250
96.5000,250
96.6000,250
96.7000,250
96.8000,250
96.9000,250
97.0000,250
97.1000,250
97.2000,250
97.3000,250
97.4000,250
97.5000,250
97.6000,250
97.7000,250
97.8000,250
97.9000,250
98.0000,250
98.1000,250
98.2000,250
98.3000,250
98.4000,250
98.5000,250
98.6000,250
98.7000,250
98.8000,250
98.9000,250
99.0000,250
99.0000,250
99.0100,250
99.0200,250
99.0300,250
99.0400,250
99.0500,250
99.0600,250
99.0700,250
99.0800,250
99.0900,250
99.1000,250
99.1100,250
99.1200,250
99.1300,250
99.1400,250
99.1500,250
99.1600,250
99.1700,250
99.1800,250
99.1900,250
99.2000,250
99.2100,250
99.2200,250
99.2300,250
99.2400,250
99.2500,250
99.2600,250
99.2700,250
99.2800,250
99.2900,250
99.3000,250
99.3100,250
99.3200,250
99.3300,250
99.3400,250
99.3500,250
99.3600,250
99.3700,250
99.3800,250
99.3900,250
99.4000,250
99.4100,250
99.4200,250
99.4300,250
99.4400,250
99.4500,250
99.4600,250
99.4700,250
99.4800,250
99.4900,250
99.5000,250
99.5100,250
99.5200,250
99.5300,250
99.5400,250
99.5500,250
99.5600,250
99.5700,250
99.5800,250
99.5900,250
99.6000,250
99.6100,250
99.6200,250
99.6300,250
99.6400,250
99.6500,250
99.6600,250
99.6700,250
99.6800,250
99.6900,250
99.7000,250
99.7100,250
99.7200,250
99.7300,250
99.7400,250
99.7500,250
99.7600,250
99.7700,250
99.7800,250
99.7900,250
99.8000,250
99.8100,250
99.8200,291
99.8300,291
99.8400,291
99.8500,291
99.8600,291
99.8700,292
99.8800,292
99.8900,292
99.9000,292
99.9000,292
99.9010,292
99.9020,292
99.9030,292
99.9040,292
99.9050,292
99.9060,292
99.9070,292
99.9080,292
99.9090,292
99.9100,292
99.9110,292
99.9120,292
99.9130,292
99.9140,292
99.9150,292
99.9160,292
99.9170,292
99.9180,292
99.9190,292
99.9200,292
99.9210,292
99.9220,292
99.9230,292
99.9240,292
99.9250,292
99.9260,292
99.9270,292
99.9280,292
99.9290,292
99.9300,292
99.9310,292
99.9320,292
99.9330,292
99.9340,292
99.9350,292
99.9360,292
99.9370,292
99.9380,292
99.9390,292
99.9400,292
99.9410,292
99.9420,292
99.9430,292
99.9440,292
99.9450,292
99.9460,292
99.9470,292
99.9480,292
99.9490,292
99.9500,292
99.9510,292
99.9520,292
99.9530,292
99.9540,292
99.9550,292
99.9560,292
99.9570,292
99.9580,292
99.9590,292
99.9600,292
99.9610,292
99.9620,292
99.9630,292
99.9640,292
99.9650,292
99.9660,292
99.9670,292
99.9680,292
99.9690,292
99.9700,292
99.9710,292
99.9720,292
99.9730,333
99.9740,333
99.9750,333
99.9760,333
99.9770,333
99.9780,333
99.9790,334
99.9800,334
99.9810,334
99.9820,334
99.9830,417
99.9840,417
99.9850,458
99.9860,875
99.9870,875
99.9880,875
99.9890,1041
99.9900,1041
99.9990,7711
100.0000,7711
