percentile,latency_ns
0.0000,166
1.0000,208
2.0000,208
3.0000,208
4.0000,209
5.0000,209
6.0000,250
7.0000,250
8.0000,250
9.0000,250
10.0000,250
11.0000,250
12.0000,250
13.0000,250
14.0000,250
15.0000,250
16.0000,250
17.0000,250
18.0000,250
19.0000,250
20.0000,250
21.0000,250
22.0000,250
23.0000,250
24.0000,250
25.0000,250
26.0000,250
27.0000,250
28.0000,250
29.0000,250
30.0000,291
31.0000,291
32.0000,291
33.0000,291
34.0000,291
35.0000,291
36.0000,291
37.0000,291
38.0000,291
39.0000,291
40.0000,291
41.0000,291
42.0000,291
43.0000,291
44.0000,291
45.0000,291
46.0000,291
47.0000,292
48.0000,292
49.0000,292
50.0000,292
51.0000,292
52.0000,292
53.0000,292
54.0000,292
55.0000,292
56.0000,292
57.0000,292
58.0000,292
59.0000,292
60.0000,292
61.0000,292
62.0000,292
63.0000,292
64.0000,292
65.0000,292
66.0000,292
67.0000,292
68.0000,292
69.0000,292
70.0000,292
71.0000,292
72.0000,292
73.0000,292
74.0000,292
75.0000,292
76.0000,292
77.0000,292
78.0000,292
79.0000,292
80.0000,292
81.0000,292
82.0000,333
83.0000,333
84.0000,333
85.0000,333
86.0000,333
87.0000,333
88.0000,333
89.0000,333
90.0000,333
90.0000,333
90.1000,333
90.2000,333
90.3000,333
90.4000,333
90.5000,333
90.6000,333
90.7000,333
90.8000,334
90.9000,334
91.0000,334
91.1000,334
91.2000,334
91.3000,334
91.4000,334
91.5000,334
91.6000,334
91.7000,334
91.8000,334
91.9000,334
92.0000,334
92.1000,334
92.2000,334
92.3000,334
92.4000,334
92.5000,334
92.6000,334
92.7000,334
92.8000,334
92.9000,334
93.0000,334
93.1000,334
93.2000,334
93.3000,334
93.4000,334
93.5000,334
93.6000,334
93.7000,334
93.8000,334
93.9000,334
94.0000,334
94.1000,334
94.2000,334
94.3000,334
94.4000,334
94.5000,334
94.6000,334
94.7000,334
94.8000,334
94.9000,334
95.0000,334
95.1000,375
95.2000,375
95.3000,375
95.4000,375
95.5000,375
95.6000,375
95.7000,375
95.8000,375
95.9000,375
96.0000,375
96.1000,375
96.2000,375
96.3000,375
96.4000,375
96.5000,375
96.6000,375
96.7000,375
96.8000,375
96.9000,375
97.0000,375
97.1000,375
97.2000,375
97.3000,375
97.4000,375
97.5000,375
97.6000,375
97.7000,375
97.8000,375
97.9000,416
98.0000,416
98.1000,416
98.2000,416
98.3000,416
98.4000,417
98.5000,417
98.6000,417
98.7000,417
98.8000,417
98.9000,417
99.0000,417
99.0000,417
99.0100,417
99.0200,417
99.0300,417
99.0400,417
99.0500,417
99.0600,417
99.0700,417
99.0800,417
99.0900,417
99.1000,417
99.1100,417
99.1200,417
99.1300,417
99.1400,417
99.1500,417
99.1600,417
99.1700,417
99.1800,417
99.1900,417
99.2000,417
99.2100,417
99.2200,417
99.2300,417
99.2400,417
99.2500,417
99.2600,417
99.2700,417
99.2800,417
99.2900,417
99.3000,417
99.3100,417
99.3200,417
99.3300,458
99.3400,458
99.3500,458
99.3600,458
99.3700,458
99.3800,458
99.3900,458
99.4000,458
99.4100,458
99.4200,458
99.4300,458
99.4400,458
99.4500,458
99.4600,458
99.4700,458
99.4800,458
99.4900,458
99.5000,458
99.5100,458
99.5200,458
99.5300,458
99.5400,458
99.5500,458
99.5600,458
99.5700,458
99.5800,458
99.5900,458
99.6000,458
99.6100,458
99.6200,458
99.6300,459
99.6400,459
99.6500,459
99.6600,459
99.6700,459
99.6800,459
99.6900,459
99.7000,459
99.7100,459
99.7200,459
99.7300,459
99.7400,459
99.7500,459
99.7600,459
99.7700,500
99.7800,500
99.7900,500
99.8000,500
99.8100,500
99.8200,500
99.8300,500
99.8400,500
99.8500,500
99.8600,500
99.8700,500
99.8800,541
99.8900,542
99.9000,542
99.9000,542
99.9010,583
99.9020,583
99.9030,583
99.9040,583
99.9050,584
99.9060,625
99.9070,625
99.9080,667
99.9090,708
99.9100,708
99.9110,709
99.9120,750
99.9130,750
99.9140,750
99.9150,750
99.9160,750
99.9170,750
99.9180,750
99.9190,791
99.9200,791
99.9210,791
99.9220,791
99.9230,792
99.9240,792
99.9250,792
99.9260,792
99.9270,792
99.9280,792
99.9290,792
99.9300,833
99.9310,833
99.9320,833
99.9330,833
99.9340,834
99.9350,834
99.9360,834
99.9370,834
99.9380,875
99.9390,875
99.9400,875
99.9410,875
99.9420,875
99.9430,875
99.9440,875
99.9450,875
99.9460,875
99.9470,875
99.9480,875
99.9490,875
99.9500,875
99.9510,875
99.9520,916
99.9530,917
99.9540,917
99.9550,917
99.9560,958
99.9570,958
99.9580,958
99.9590,1000
99.9600,1041
99.9610,1041
99.9620,1083
99.9630,1084
99.9640,1167
99.9650,1167
99.9660,1208
99.9670,1209
99.9680,1333
99.9690,1416
99.9700,1417
99.9710,1458
99.9720,1667
99.9730,1917
99.9740,2251
99.9750,2333
99.9760,2625
99.9770,2625
99.9780,2751
99.9790,3043
99.9800,3835
99.9810,4167
99.9820,4503
99.9830,4711
99.9840,4835
99.9850,4919
99.9860,5003
99.9870,5043
99.9880,5127
99.9890,5127
99.9900,5295
99.9990,18127
100.0000,46655
