percentile,latency_ns
0.0000,1000
1.0000,1042
2.0000,1083
3.0000,1083
4.0000,1084
5.0000,1125
6.0000,1125
7.0000,1125
8.0000,1125
9.0000,1125
10.0000,1125
11.0000,1125
12.0000,1125
13.0000,1125
14.0000,1125
15.0000,1125
16.0000,1125
17.0000,1125
18.0000,1125
19.0000,1125
20.0000,1125
21.0000,1125
22.0000,1125
23.0000,1125
24.0000,1125
25.0000,1166
26.0000,1166
27.0000,1166
28.0000,1166
29.0000,1166
30.0000,1166
31.0000,1166
32.0000,1166
33.0000,1166
34.0000,1166
35.0000,1166
36.0000,1166
37.0000,1166
38.0000,1167
39.0000,1167
40.0000,1167
41.0000,1167
42.0000,1167
43.0000,1167
44.0000,1167
45.0000,1167
46.0000,1167
47.0000,1167
48.0000,1167
49.0000,1167
50.0000,1167
51.0000,1167
52.0000,1167
53.0000,1167
54.0000,1167
55.0000,1167
56.0000,1167
57.0000,1167
58.0000,1167
59.0000,1167
60.0000,1167
61.0000,1167
62.0000,1167
63.0000,1167
64.0000,1208
65.0000,1208
66.0000,1208
67.0000,1208
68.0000,1208
69.0000,1208
70.0000,1208
71.0000,1208
72.0000,1208
73.0000,1208
74.0000,1208
75.0000,1208
76.0000,1208
77.0000,1208
78.0000,1208
79.0000,1209
80.0000,1209
81.0000,1209
82.0000,1209
83.0000,1209
84.0000,1209
85.0000,1209
86.0000,1209
87.0000,1250
88.0000,1250
89.0000,1250
90.0000,1250
90.0000,1250
90.1000,1250
90.2000,1250
90.3000,1250
90.4000,1250
90.5000,1250
90.6000,1250
90.7000,1250
90.8000,1250
90.9000,1250
91.0000,1250
91.1000,1250
91.2000,1250
91.3000,1250
91.4000,1250
91.5000,1250
91.6000,1250
91.7000,1250
91.8000,1250
91.9000,1250
92.0000,1250
92.1000,1250
92.2000,1250
92.3000,1250
92.4000,1250
92.5000,1250
92.6000,1250
92.7000,1250
92.8000,1250
92.9000,1250
93.0000,1250
93.1000,1250
93.2000,1250
93.3000,1250
93.4000,1250
93.5000,1250
93.6000,1250
93.7000,1250
93.8000,1250
93.9000,1250
94.0000,1291
94.1000,1291
94.2000,1291
94.3000,1291
94.4000,1291
94.5000,1292
94.6000,1292
94.7000,1292
94.8000,1292
94.9000,1292
95.0000,1292
95.1000,1292
95.2000,1292
95.3000,1292
95.4000,1333
95.5000,1333
95.6000,1334
95.7000,1334
95.8000,1375
95.9000,1375
96.0000,1416
96.1000,1417
96.2000,1417
96.3000,1417
96.4000,1458
96.5000,1458
96.6000,1458
96.7000,1458
96.8000,1458
96.9000,1458
97.0000,1459
97.1000,1459
97.2000,1459
97.3000,1500
97.4000,1500
97.5000,1500
97.6000,1500
97.7000,1500
97.8000,1500
97.9000,1500
98.0000,1500
98.1000,1500
98.2000,1500
98.3000,1541
98.4000,1541
98.5000,1542
98.6000,1542
98.7000,1542
98.8000,1542
98.9000,1542
99.0000,1583
99.0000,1583
99.0100,1583
99.0200,1583
99.0300,1583
99.0400,1583
99.0500,1583
99.0600,1583
99.0700,1583
99.0800,1583
99.0900,1583
99.1000,1583
99.1100,1583
99.1200,1583
99.1300,1583
99.1400,1583
99.1500,1583
99.1600,1583
99.1700,1583
99.1800,1583
99.1900,1583
99.2000,1583
99.2100,1583
99.2200,1583
99.2300,1583
99.2400,1583
99.2500,1583
99.2600,1583
99.2700,1583
99.2800,1584
99.2900,1584
99.3000,1584
99.3100,1584
99.3200,1584
99.3300,1584
99.3400,1584
99.3500,1584
99.3600,1584
99.3700,1584
99.3800,1584
99.3900,1584
99.4000,1584
99.4100,1584
99.4200,1625
99.4300,1625
99.4400,1625
99.4500,1625
99.4600,1625
99.4700,1625
99.4800,1625
99.4900,1625
99.5000,1625
99.5100,1625
99.5200,1625
99.5300,1625
99.5400,1625
99.5500,1625
99.5600,1625
99.5700,1625
99.5800,1625
99.5900,1625
99.6000,1625
99.6100,1625
99.6200,1625
99.6300,1625
99.6400,1625
99.6500,1625
99.6600,1625
99.6700,1625
99.6800,1666
99.6900,1666
99.7000,1666
99.7100,1666
99.7200,1667
99.7300,1667
99.7400,1667
99.7500,1667
99.7600,1667
99.7700,1667
99.7800,1667
99.7900,1667
99.8000,1667
99.8100,1667
